index,time,0,distance,posX,posY
291,2023-07-14 15:30:16.416000+02:00,-78,6.0,6.0,0.0
292,2023-07-14 15:30:17.419000+02:00,-77,6.0,6.0,0.0
293,2023-07-14 15:30:18.420000+02:00,-67,6.0,6.0,0.0
294,2023-07-14 15:30:19.422000+02:00,-77,6.0,6.0,0.0
295,2023-07-14 15:30:21.426000+02:00,-72,6.0,6.0,0.0
296,2023-07-14 15:30:22.428000+02:00,-77,6.0,6.0,0.0
297,2023-07-14 15:30:24.431000+02:00,-82,6.5,6.5,0.0
298,2023-07-14 15:30:25.434000+02:00,-81,6.5,6.5,0.0
299,2023-07-14 15:30:26.437000+02:00,-84,6.5,6.5,0.0
300,2023-07-14 15:30:27.438000+02:00,-78,6.5,6.5,0.0
301,2023-07-14 15:30:29.445000+02:00,-68,6.5,6.5,0.0
302,2023-07-14 15:30:30.446000+02:00,-75,6.5,6.5,0.0
303,2023-07-14 15:30:31.450000+02:00,-73,6.5,6.5,0.0
304,2023-07-14 15:30:32.451000+02:00,-80,6.5,6.5,0.0
305,2023-07-14 15:30:33.454000+02:00,-78,6.5,6.5,0.0
306,2023-07-14 15:30:34.457000+02:00,-80,6.5,6.5,0.0
307,2023-07-14 15:30:35.458000+02:00,-79,6.5,6.5,0.0
308,2023-07-14 15:30:36.459000+02:00,-73,6.5,6.5,0.0
309,2023-07-14 15:30:37.462000+02:00,-69,6.5,6.5,0.0
310,2023-07-14 15:30:40.469000+02:00,-78,6.5,6.5,0.0
311,2023-07-14 15:30:41.471000+02:00,-79,6.5,6.5,0.0
312,2023-07-14 15:30:43.474000+02:00,-79,6.5,6.5,0.0
313,2023-07-14 15:30:45.479000+02:00,-81,6.5,6.5,0.0
314,2023-07-14 15:30:46.481000+02:00,-81,6.5,6.5,0.0
315,2023-07-14 15:30:47.482000+02:00,-69,6.5,6.5,0.0
316,2023-07-14 15:30:49.487000+02:00,-79,6.5,6.5,0.0
317,2023-07-14 15:30:50.488000+02:00,-78,6.5,6.5,0.0
318,2023-07-14 15:30:52.492000+02:00,-83,6.5,6.5,0.0
319,2023-07-14 15:30:53.494000+02:00,-73,6.5,6.5,0.0
320,2023-07-14 15:30:54.497000+02:00,-74,7.0,7.0,0.0
321,2023-07-14 15:30:55.500000+02:00,-76,7.0,7.0,0.0
322,2023-07-14 15:30:56.502000+02:00,-79,7.0,7.0,0.0
323,2023-07-14 15:30:57.504000+02:00,-74,7.0,7.0,0.0
324,2023-07-14 15:30:58.506000+02:00,-76,7.0,7.0,0.0
325,2023-07-14 15:30:59.507000+02:00,-71,7.0,7.0,0.0
326,2023-07-14 15:31:00.508000+02:00,-75,7.0,7.0,0.0
327,2023-07-14 15:31:01.511000+02:00,-76,7.0,7.0,0.0
328,2023-07-14 15:31:02.513000+02:00,-78,7.0,7.0,0.0
329,2023-07-14 15:31:03.515000+02:00,-78,7.0,7.0,0.0
330,2023-07-14 15:31:04.517000+02:00,-68,7.0,7.0,0.0
331,2023-07-14 15:31:05.519000+02:00,-76,7.0,7.0,0.0
332,2023-07-14 15:31:06.520000+02:00,-71,7.0,7.0,0.0
333,2023-07-14 15:31:07.523000+02:00,-78,7.0,7.0,0.0
334,2023-07-14 15:31:08.525000+02:00,-80,7.0,7.0,0.0
335,2023-07-14 15:31:09.528000+02:00,-76,7.0,7.0,0.0
336,2023-07-14 15:31:10.529000+02:00,-73,7.0,7.0,0.0
337,2023-07-14 15:31:11.532000+02:00,-81,7.0,7.0,0.0
338,2023-07-14 15:31:12.532000+02:00,-75,7.0,7.0,0.0
339,2023-07-14 15:31:13.534000+02:00,-75,7.0,7.0,0.0
340,2023-07-14 15:31:14.538000+02:00,-81,7.0,7.0,0.0
341,2023-07-14 15:31:15.539000+02:00,-77,7.0,7.0,0.0
342,2023-07-14 15:31:17.545000+02:00,-72,7.0,7.0,0.0
343,2023-07-14 15:31:18.548000+02:00,-72,7.0,7.0,0.0
344,2023-07-14 15:31:19.549000+02:00,-83,7.0,7.0,0.0
345,2023-07-14 15:31:20.551000+02:00,-76,7.0,7.0,0.0
346,2023-07-14 15:31:22.554000+02:00,-88,7.0,7.0,0.0
347,2023-07-14 15:31:23.557000+02:00,-81,7.0,7.0,0.0
348,2023-07-14 15:31:24.559000+02:00,-84,7.5,7.5,0.0
349,2023-07-14 15:31:25.561000+02:00,-81,7.5,7.5,0.0
350,2023-07-14 15:31:26.565000+02:00,-82,7.5,7.5,0.0
351,2023-07-14 15:31:27.567000+02:00,-76,7.5,7.5,0.0
352,2023-07-14 15:31:28.569000+02:00,-69,7.5,7.5,0.0
353,2023-07-14 15:31:29.572000+02:00,-80,7.5,7.5,0.0
354,2023-07-14 15:31:30.573000+02:00,-79,7.5,7.5,0.0
355,2023-07-14 15:31:31.577000+02:00,-83,7.5,7.5,0.0
356,2023-07-14 15:31:32.578000+02:00,-79,7.5,7.5,0.0
357,2023-07-14 15:31:33.581000+02:00,-80,7.5,7.5,0.0
358,2023-07-14 15:31:34.584000+02:00,-81,7.5,7.5,0.0
359,2023-07-14 15:31:35.585000+02:00,-81,7.5,7.5,0.0
360,2023-07-14 15:31:36.589000+02:00,-73,7.5,7.5,0.0
361,2023-07-14 15:31:37.593000+02:00,-86,7.5,7.5,0.0
362,2023-07-14 15:31:38.595000+02:00,-80,7.5,7.5,0.0
363,2023-07-14 15:31:39.598000+02:00,-78,7.5,7.5,0.0
364,2023-07-14 15:31:40.600000+02:00,-82,7.5,7.5,0.0
365,2023-07-14 15:31:43.607000+02:00,-83,7.5,7.5,0.0
366,2023-07-14 15:31:45.611000+02:00,-81,7.5,7.5,0.0
367,2023-07-14 15:31:46.613000+02:00,-84,7.5,7.5,0.0
368,2023-07-14 15:31:47.616000+02:00,-78,7.5,7.5,0.0
369,2023-07-14 15:31:48.618000+02:00,-83,7.5,7.5,0.0
370,2023-07-14 15:31:49.621000+02:00,-75,7.5,7.5,0.0
371,2023-07-14 15:31:50.623000+02:00,-75,7.5,7.5,0.0
372,2023-07-14 15:31:51.625000+02:00,-75,7.5,7.5,0.0
373,2023-07-14 15:31:52.628000+02:00,-77,7.5,7.5,0.0
374,2023-07-14 15:31:53.630000+02:00,-79,7.5,7.5,0.0
375,2023-07-14 15:31:54.633000+02:00,-80,8.0,8.0,0.0
